jobId,numMaps,numReduces
job316,1,0
job317,1,1
job318,1,0
job319,1,0
job320,1,0
job321,1,0
job322,1,0
job323,1,0
job324,1,1
job325,1,0
job326,3,0
job327,18,3
job328,1,0
job329,15,2
job330,1,0
job331,1,0
job332,1,0
job333,1,0
job334,1,0
job335,1,0
job336,1,0
job337,1,0
job338,1,0
job339,1,0
job340,1,1
job341,1,0
job342,1,0
job343,1,1
job344,8,0
job345,1,0
job346,1,1
job347,216,27
job348,3,1
job349,1,0
job350,1,1
job351,1,1
job352,1,0
job353,1,1
job354,7,0
job355,2,0
job356,1,1
job357,8,1
job358,1,0
job359,15,2
job360,1,0
job361,1,0
job362,1,0
job363,1,0
job364,33,5
job365,1,0
job366,1,0
job367,1,1
job368,1,0
job369,1,0
job370,1,0
job371,1,0
job372,1,1
job373,1,1
job374,1,1
job375,1,1
job376,1,0
job377,1,1
job378,1,1
job379,1,0
job380,1,0
job381,1,0
job382,1,0
job383,1,1
job384,1,0
job385,33,0
job386,1,1
job387,1,1
job388,1,0
job389,1,1
job390,1,0
job391,1,0
job392,1,0
job393,1,1
job394,1,0
job395,1,1
job396,1,0
job397,1,0
job398,1,0
job399,1,0
job400,33,5
job401,892,112
job402,1,0
job403,1,1
job404,1,0
job405,8,0
job406,1,0
job407,1,1
job408,8,1
job409,1,1
job410,1,0
job411,1,0
job412,1,0
job413,1,0
job414,1,0
job415,1,0
job416,1,0
job417,1,0
job418,1,0
job419,1,0
job420,1,0
job421,1,0
job422,1,1
job423,8,0
job424,892,112
job425,1,0
job426,1,0
job427,1,0
job428,1,0
job429,1,1
job430,1,0
job431,1,1
job432,1,0
job433,1,0
job434,892,112
job435,8,0
job436,1,0
job437,1,0
job438,1,0
job439,1,0
job440,1,1
job441,1,1
job442,1,0
job443,1,0
job444,1,0
job445,1,0
job446,5,0
job447,1,0
job448,1,0
job449,1,0
job450,1,0
job451,1,1
job452,1,1
job453,1,1
job454,1,0
job455,1,0
job456,1,1
job457,1,0
job458,1,1
job459,1,0
job460,1,1
job461,1,1
job462,1,1
job463,1,1
job464,1,1
job465,1,1
job466,216,27
job467,1,0
job468,1,0
job469,1,1
job470,1,1
job471,1,1
job472,892,112
job473,1,1
job474,1,1
job475,1,0
job476,1,0
job477,1,0
job478,1,0
job479,1,0
job480,1,0
job481,2375,297
job482,33,0
job483,1,0
job484,1,0
job485,1,0
job486,1,0
job487,1,0
job488,1,0
job489,1,0
job490,1,0
job491,1,0
job492,1,0
job493,1,0
job494,1,0
job495,1,0
job496,1,0
job497,1,0
job498,1,1
job499,1,0
job500,1,1
job501,1,0
job502,1,1
job503,1,0
job504,1,0
job505,1,0
job506,1,1
job507,1,1
job508,1,1
job509,1,1
job510,1,1
job511,1,1
job512,1,1
job513,1,1
job514,1,1
job515,236,30
job516,1,0
job517,1,1
job518,1,1
job519,1,0
job520,1,1
job521,1,0
job522,1,0
job523,1,1
job524,1,1
job525,892,112
job526,6,1
job527,1,1
job528,1,0
job529,1,1
job530,1,0
job531,1,0
job532,892,112
job533,1,1
job534,2,0
job535,1,1
job536,1,1
job537,1,1
job538,1,1
job539,1,1
job540,8,1
job541,2,1
job542,1,1
job543,1,1
job544,1,1
job545,1,1
job546,1,1
job547,1,1
job548,1,1
job549,1,1
job550,1,0
job551,892,112
